,Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
0,Summary,93.03,2.39,90.64,101.44,84.83,103475908.0,N.A.
2,17:00 - 18:00,90.67,0.03,90.64,90.67,90.61,125.0,N.A.
4,12:00 - 13:00,90.72,0.05,90.75,90.79,90.68,183.0,N.A.
5,13:00 - 14:00,90.75,0.03,90.72,90.82,90.6,769.0,N.A.
6,14:00 - 15:00,90.72,-0.03,90.75,90.86,90.67,778.0,N.A.
7,15:00 - 16:00,90.75,0.03,90.72,90.86,90.65,582.0,N.A.
8,16:00 - 17:00,90.74,-0.01,90.74,90.81,90.6,262.0,N.A.
9,17:00 - 18:00,90.9,0.16,90.74,90.94,90.6,4027.0,N.A.
10,18:00 - 19:00,90.69,-0.21,90.9,90.9,90.67,3993.0,N.A.
11,19:00 - 20:00,90.76,0.07,90.69,90.82,90.67,4569.0,N.A.
12,20:00 - 21:00,90.83,0.07,90.76,90.83,90.71,5014.0,N.A.
13,21:00 - 22:00,90.88,0.05,90.83,90.91,90.72,4853.0,N.A.
14,22:00 - 23:00,91.03,0.15,90.88,91.09,90.86,5885.0,N.A.
15,23:00 - 00:00,91.09,0.06,91.03,91.18,90.97,6344.0,N.A.
17,00:00 - 01:00,91.16,0.07,91.09,91.18,91.03,4910.0,N.A.
18,01:00 - 02:00,91.18,0.02,91.16,91.19,91.09,4058.0,N.A.
19,02:00 - 03:00,91.26,0.08,91.18,91.3,91.17,3974.0,N.A.
20,03:00 - 04:00,91.19,-0.07,91.25,91.32,91.1,4645.0,N.A.
21,04:00 - 05:00,91.22,0.03,91.19,91.25,91.1,3259.0,N.A.
22,05:00 - 06:00,91.16,-0.06,91.22,91.25,91.11,3492.0,N.A.
23,06:00 - 07:00,91.21,0.05,91.16,91.24,91.12,3775.0,N.A.
24,07:00 - 08:00,91.39,0.18,91.21,91.46,91.14,3662.0,N.A.
25,08:00 - 09:00,91.18,-0.21,91.39,91.39,91.17,3913.0,N.A.
26,09:00 - 10:00,91.2,0.02,91.18,91.21,91.11,3495.0,N.A.
27,10:00 - 11:00,90.96,-0.24,91.2,91.2,90.8,5454.0,N.A.
28,11:00 - 12:00,91.13,0.17,90.96,91.21,90.93,4366.0,N.A.
29,12:00 - 13:00,91.38,0.25,91.13,91.43,91.1,4556.0,N.A.
30,13:00 - 14:00,91.89,0.51,91.38,91.92,91.36,4791.0,N.A.
31,14:00 - 15:00,92.21,0.32,91.89,92.42,91.8,4913.0,N.A.
32,15:00 - 16:00,92.29,0.08,92.21,92.29,92.11,3844.0,N.A.
33,16:00 - 17:00,91.84,-0.45,92.29,92.29,91.72,4783.0,N.A.
35,17:00 - 18:00,92.14,0.3,91.95,92.19,91.88,4750.0,N.A.
36,18:00 - 19:00,92.08,-0.06,92.14,92.2,92.06,5746.0,N.A.
37,19:00 - 20:00,92.1,0.02,92.08,92.14,91.93,7941.0,N.A.
38,20:00 - 21:00,92.03,-0.07,92.1,92.17,91.99,6633.0,N.A.
39,21:00 - 22:00,91.98,-0.05,92.04,92.14,91.93,6266.0,N.A.
40,22:00 - 23:00,91.97,-0.01,91.98,92.02,91.93,4941.0,N.A.
41,23:00 - 00:00,92.03,0.06,91.97,92.1,91.94,6023.0,N.A.
