,Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
0,Summary,120.22,0.74,119.48,125.86,115.86,392657449.0,N.A.
2,17:00 - 18:00,119.46,-0.02,119.48,119.53,119.38,47892.0,N.A.
3,18:00 - 19:00,119.47,0.01,119.46,119.51,119.39,42914.0,N.A.
4,19:00 - 20:00,119.54,0.07,119.47,119.54,119.41,42412.0,N.A.
5,20:00 - 21:00,119.28,-0.26,119.54,119.56,119.25,42726.0,N.A.
6,21:00 - 22:00,119.36,0.08,119.28,119.38,119.26,43008.0,N.A.
7,22:00 - 23:00,119.46,0.1,119.36,119.46,119.36,38397.0,N.A.
8,23:00 - 00:00,119.53,0.07,119.46,119.55,119.41,41099.0,N.A.
10,00:00 - 01:00,119.73,0.2,119.53,119.75,119.51,44721.0,N.A.
11,01:00 - 02:00,119.73,0.0,119.73,119.77,119.63,41950.0,N.A.
12,02:00 - 03:00,119.63,-0.1,119.73,119.79,119.6,49804.0,N.A.
13,03:00 - 04:00,119.59,-0.04,119.63,119.69,119.57,47565.0,N.A.
14,04:00 - 05:00,119.49,-0.1,119.59,119.61,119.48,47439.0,N.A.
15,05:00 - 06:00,119.43,-0.06,119.49,119.51,119.33,46956.0,N.A.
16,06:00 - 07:00,119.33,-0.1,119.43,119.48,119.31,46450.0,N.A.
17,07:00 - 08:00,119.5,0.17,119.33,119.53,119.3,48998.0,N.A.
18,08:00 - 09:00,119.62,0.12,119.5,119.64,119.49,54586.0,N.A.
19,09:00 - 10:00,119.51,-0.11,119.62,119.64,119.47,66911.0,N.A.
20,10:00 - 11:00,119.89,0.38,119.51,119.9,119.39,75006.0,N.A.
21,11:00 - 12:00,119.86,-0.03,119.89,119.94,119.75,60117.0,N.A.
22,12:00 - 13:00,119.84,-0.02,119.86,119.89,119.75,56419.0,N.A.
23,13:00 - 14:00,119.9,0.06,119.84,119.9,119.79,42711.0,N.A.
24,14:00 - 15:00,119.86,-0.04,119.9,119.94,119.84,41423.0,N.A.
25,15:00 - 16:00,119.76,-0.1,119.86,119.88,119.76,45317.0,N.A.
26,16:00 - 17:00,119.78,0.02,119.76,119.84,119.66,42215.0,N.A.
27,17:00 - 18:00,119.78,0.0,119.78,119.79,119.65,181.0,N.A.
29,12:00 - 13:00,119.78,0.0,119.73,119.81,119.66,174.0,N.A.
30,13:00 - 14:00,119.76,-0.02,119.78,119.93,119.67,4394.0,N.A.
31,14:00 - 15:00,119.79,0.03,119.76,119.79,119.76,3772.0,N.A.
32,15:00 - 16:00,119.82,0.03,119.79,119.85,119.79,5665.0,N.A.
33,16:00 - 17:00,119.74,-0.08,119.82,119.82,119.71,3534.0,N.A.
34,17:00 - 18:00,119.84,0.1,119.74,119.84,119.72,21925.0,N.A.
35,18:00 - 19:00,119.89,0.05,119.84,119.97,119.81,55175.0,N.A.
36,19:00 - 20:00,120.08,0.19,119.89,120.08,119.84,45798.0,N.A.
37,20:00 - 21:00,120.27,0.19,120.08,120.43,120.05,63682.0,N.A.
38,21:00 - 22:00,120.36,0.09,120.27,120.43,120.26,49879.0,N.A.
39,22:00 - 23:00,120.32,-0.04,120.36,120.38,120.28,39587.0,N.A.
40,23:00 - 00:00,120.44,0.12,120.32,120.48,120.32,41109.0,N.A.
42,00:00 - 01:00,120.43,-0.01,120.44,120.47,120.41,37253.0,N.A.
43,01:00 - 02:00,120.4,-0.03,120.43,120.45,120.34,38527.0,N.A.
44,02:00 - 03:00,120.44,0.04,120.4,120.51,120.39,55975.0,N.A.
45,03:00 - 04:00,120.35,-0.09,120.44,120.49,120.35,67437.0,N.A.
46,04:00 - 05:00,120.41,0.06,120.35,120.43,120.32,67454.0,N.A.
47,05:00 - 06:00,120.44,0.03,120.41,120.48,120.38,48501.0,N.A.
48,06:00 - 07:00,120.49,0.05,120.44,120.5,120.44,49086.0,N.A.
49,07:00 - 08:00,120.63,0.14,120.49,120.66,120.48,50720.0,N.A.
50,08:00 - 09:00,120.61,-0.02,120.63,120.66,120.56,57138.0,N.A.
51,09:00 - 10:00,120.61,0.0,120.61,120.74,120.58,66946.0,N.A.
52,10:00 - 11:00,120.2,-0.41,120.61,120.64,120.01,96338.0,N.A.
53,11:00 - 12:00,120.21,0.01,120.2,120.24,119.81,96049.0,N.A.
54,12:00 - 13:00,120.23,0.02,120.21,120.39,120.15,59667.0,N.A.
55,13:00 - 14:00,120.31,0.08,120.23,120.33,120.21,49365.0,N.A.
56,14:00 - 15:00,120.34,0.03,120.31,120.39,120.3,50163.0,N.A.
57,15:00 - 16:00,120.47,0.13,120.34,120.49,120.31,50697.0,N.A.
58,16:00 - 17:00,120.5,0.03,120.47,120.54,120.46,43807.0,N.A.
60,13:00 - 14:00,120.47,-0.03,120.41,120.56,120.36,1905.0,N.A.
61,14:00 - 15:00,120.33,-0.14,120.47,120.47,120.33,3329.0,N.A.
62,15:00 - 16:00,120.37,0.04,120.34,120.38,120.32,5358.0,N.A.
63,16:00 - 17:00,120.5,0.13,120.37,120.51,120.36,9738.0,N.A.
64,17:00 - 18:00,120.54,0.04,120.5,120.63,120.35,67752.0,N.A.
65,18:00 - 19:00,120.41,-0.13,120.54,120.58,120.38,67762.0,N.A.
66,19:00 - 20:00,120.26,-0.15,120.41,120.42,119.98,86045.0,N.A.
67,20:00 - 21:00,120.4,0.14,120.26,120.43,120.13,80001.0,N.A.
68,21:00 - 22:00,120.33,-0.07,120.4,120.4,120.24,59218.0,N.A.
69,22:00 - 23:00,120.59,0.26,120.33,120.6,120.31,65666.0,N.A.
70,23:00 - 00:00,120.55,-0.04,120.59,120.65,120.5,51415.0,N.A.
72,00:00 - 01:00,120.41,-0.14,120.56,120.61,120.36,55237.0,N.A.
73,01:00 - 02:00,120.39,-0.02,120.41,120.51,120.36,55308.0,N.A.
74,02:00 - 03:00,120.37,-0.02,120.39,120.48,120.31,63582.0,N.A.
75,03:00 - 04:00,120.36,-0.01,120.37,120.43,120.26,75024.0,N.A.
76,04:00 - 05:00,120.21,-0.15,120.36,120.39,120.13,72177.0,N.A.
