,Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
71,11:00 - 12:00,1.5087,0.0051,1.5036,1.5122,1.5036,160051.0,N.A.
72,12:00 - 13:00,1.5101,0.0014,1.5087,1.511,1.5084,118693.0,N.A.
73,13:00 - 14:00,1.5117,0.0016,1.5101,1.5127,1.5099,80378.0,N.A.
74,14:00 - 15:00,1.5154,0.0037,1.5117,1.5156,1.5108,80719.0,N.A.
75,15:00 - 16:00,1.5153,-0.0001,1.5154,1.5155,1.5137,95271.0,N.A.
76,16:00 - 17:00,1.5144,-0.0009,1.5153,1.5159,1.5144,58811.0,N.A.
77,17:00 - 18:00,1.5139,-0.0005,1.5144,1.5146,1.5135,35433.0,N.A.
78,18:00 - 19:00,1.5133,-0.0006,1.5139,1.5141,1.5132,55987.0,N.A.
79,19:00 - 20:00,1.5133,0.0,1.5133,1.5157,1.5127,72269.0,N.A.
80,20:00 - 21:00,1.5126,-0.0007,1.5133,1.5138,1.5119,63896.0,N.A.
81,21:00 - 22:00,1.5119999999999998,-0.0006,1.5126,1.5130000000000001,1.5114,51179.0,N.A.
82,22:00 - 23:00,1.5125,0.0005,1.5119999999999998,1.5131,1.5119999999999998,46941.0,N.A.
83,23:00 - 00:00,1.5131,0.0006,1.5125,1.5133,1.5121,43166.0,N.A.
85,00:00 - 01:00,1.5124,-0.0007,1.5131,1.5133,1.5123,46214.0,N.A.
86,01:00 - 02:00,1.5117,-0.0007,1.5124,1.5127,1.5113,55034.0,N.A.
87,02:00 - 03:00,1.5087,-0.003,1.5117,1.5121,1.5078,95768.0,N.A.
88,03:00 - 04:00,1.5106,0.0019,1.5087,1.5119,1.5086,92148.0,N.A.
89,04:00 - 05:00,1.5124,0.0018,1.5106,1.5137,1.5105,95734.0,N.A.
90,05:00 - 06:00,1.5117,-0.0007,1.5124,1.5136,1.5115,83048.0,N.A.
91,06:00 - 07:00,1.5115,-0.0002,1.5117,1.5118,1.5104,89828.0,N.A.
92,07:00 - 08:00,1.5122,0.0007,1.5115,1.5135,1.5115,84323.0,N.A.
93,08:00 - 09:00,1.5114,-0.0008,1.5122,1.5156,1.5081,196601.0,N.A.
94,09:00 - 10:00,1.5134,0.002,1.5114,1.5134,1.5094,127383.0,N.A.
95,10:00 - 11:00,1.5102,-0.0032,1.5133,1.515,1.5098,130622.0,N.A.
96,11:00 - 12:00,1.5099,-0.0003,1.5102,1.5114,1.5099,122522.0,N.A.
97,12:00 - 13:00,1.51,0.0001,1.5099,1.5104,1.5083,119662.0,N.A.
98,13:00 - 14:00,1.5106,0.0006,1.51,1.5107,1.5096,69530.0,N.A.
99,14:00 - 15:00,1.5101,-0.0005,1.5106,1.5112,1.5099,53342.0,N.A.
100,15:00 - 16:00,1.5107,0.0006,1.5101,1.5117,1.51,50037.0,N.A.
101,16:00 - 17:00,1.5112,0.0005,1.5107,1.5112,1.5102,41695.0,N.A.
103,13:00 - 14:00,1.5104,-0.0008,1.5108,1.5118,1.5098,4083.0,N.A.
104,14:00 - 15:00,1.5107,0.0003,1.5104,1.5112,1.5092,4560.0,N.A.
105,15:00 - 16:00,1.5107,0.0,1.5107,1.5113,1.5089,5181.0,N.A.
106,16:00 - 17:00,1.5105,-0.0002,1.5107,1.5112,1.5101,6875.0,N.A.
107,17:00 - 18:00,1.5108,0.0003,1.5105,1.5112,1.5101,24190.0,N.A.
108,18:00 - 19:00,1.5109,0.0001,1.5108,1.5115,1.5105,59119.0,N.A.
109,19:00 - 20:00,1.5102,-0.0007,1.5109,1.5111,1.5098,45175.0,N.A.
110,20:00 - 21:00,1.5103,0.0001,1.5102,1.5105,1.5099,42690.0,N.A.
111,21:00 - 22:00,1.5099,-0.0004,1.5103,1.5103,1.5096,38630.0,N.A.
112,22:00 - 23:00,1.5097,-0.0002,1.5099,1.51,1.5095,32412.0,N.A.
113,23:00 - 00:00,1.5099,0.0002,1.5097,1.5104,1.5097,38673.0,N.A.
115,00:00 - 01:00,1.5098,-0.0001,1.5099,1.5104,1.5096,31802.0,N.A.
116,01:00 - 02:00,1.5106,0.0008,1.5098,1.511,1.5098,33654.0,N.A.
117,02:00 - 03:00,1.5102,-0.0004,1.5106,1.5115,1.51,54210.0,N.A.
118,03:00 - 04:00,1.5076,-0.0026,1.5102,1.5104,1.5055,97736.0,N.A.
119,04:00 - 05:00,1.5066,-0.001,1.5076,1.5078,1.5059,68235.0,N.A.
120,05:00 - 06:00,1.5081,0.0015,1.5066,1.5082,1.506,59678.0,N.A.
121,06:00 - 07:00,1.5063,-0.0018,1.5081,1.5092,1.5061,60896.0,N.A.
122,07:00 - 08:00,1.5068,0.0005,1.5063,1.5084,1.5057,66124.0,N.A.
123,08:00 - 09:00,1.5078,0.001,1.5068,1.508,1.5057,79251.0,N.A.
124,09:00 - 10:00,1.5072,-0.0006,1.5078,1.5082,1.5064,91491.0,N.A.
125,10:00 - 11:00,1.5071,-0.0001,1.5072,1.5082,1.5064,103525.0,N.A.
126,11:00 - 12:00,1.5073,0.0002,1.5071,1.508,1.5063,96590.0,N.A.
127,12:00 - 13:00,1.5061,-0.0012,1.5073,1.5076,1.5061,57282.0,N.A.
128,13:00 - 14:00,1.5048,-0.0013,1.5061,1.5063,1.5045,58317.0,N.A.
129,14:00 - 15:00,1.5064,0.0016,1.5048,1.5078,1.5047,75719.0,N.A.
130,15:00 - 16:00,1.5052,-0.0012,1.5064,1.5065,1.505,41434.0,N.A.
131,16:00 - 17:00,1.5055,0.0003,1.5052,1.5056,1.5045,37816.0,N.A.
132,17:00 - 18:00,1.5048,-0.0007,1.5055,1.5058,1.5047,41638.0,N.A.
133,18:00 - 19:00,1.5049,0.0001,1.5048,1.5055,1.5045,43359.0,N.A.
134,19:00 - 20:00,1.5049,0.0,1.5049,1.5051,1.5046,44156.0,N.A.
135,20:00 - 21:00,1.5051,0.0002,1.5049,1.5052,1.5043,41158.0,N.A.
136,21:00 - 22:00,1.5052,0.0001,1.5051,1.5056,1.5048,41548.0,N.A.
137,22:00 - 23:00,1.5043,-0.0009,1.5052,1.5052,1.5041,40999.0,N.A.
138,23:00 - 00:00,1.5045,0.0002,1.5043,1.5048,1.5041,36319.0,N.A.
140,00:00 - 01:00,1.5043,-0.0002,1.5045,1.5049,1.5038,41132.0,N.A.
141,01:00 - 02:00,1.5044,0.0001,1.5043,1.5047,1.5041,36827.0,N.A.
142,02:00 - 03:00,1.505,0.0006,1.5044,1.5061,1.5038,62574.0,N.A.
143,03:00 - 04:00,1.5027,-0.0023,1.505,1.5051,1.5025,73579.0,N.A.
144,04:00 - 05:00,1.5011,-0.0016,1.5027,1.5036,1.5003,84007.0,N.A.
145,05:00 - 06:00,1.5008,-0.0003,1.5011,1.5016,1.4991,92096.0,N.A.
146,06:00 - 07:00,1.5001,-0.0007,1.5008,1.5009,1.4995,75139.0,N.A.
147,07:00 - 08:00,1.4977,-0.0024,1.5001,1.5001,1.4972,81274.0,N.A.
148,08:00 - 09:00,1.4966,-0.0011,1.4977,1.4980000000000002,1.4957,98802.0,N.A.
149,09:00 - 10:00,1.4981,0.0015,1.4966,1.4995,1.4966,98834.0,N.A.
150,10:00 - 11:00,1.4985,0.0004,1.4981,1.5005,1.4978,120809.0,N.A.
151,11:00 - 12:00,1.4999,0.0014,1.4985,1.5011,1.4980000000000002,95609.0,N.A.
152,12:00 - 13:00,1.5009,0.001,1.4999,1.5012,1.4999,66647.0,N.A.
153,13:00 - 14:00,1.5011,0.0002,1.5009,1.5012,1.5004,58734.0,N.A.
154,14:00 - 15:00,1.4996,-0.0015,1.5011,1.5011,1.4995,54649.0,N.A.
155,15:00 - 16:00,1.5008,0.0012,1.4996,1.5009,1.4995,43527.0,N.A.
156,16:00 - 17:00,1.5008,0.0,1.5008,1.5014,1.5005,41579.0,N.A.
157,17:00 - 18:00,1.5012,0.0004,1.5008,1.5017,1.5008,35900.0,N.A.
158,18:00 - 19:00,1.501,-0.0002,1.5012,1.5014,1.5007,51811.0,N.A.
159,19:00 - 20:00,1.5006,-0.0004,1.501,1.5011,1.5005,37852.0,N.A.
160,20:00 - 21:00,1.5016,0.001,1.5006,1.5024,1.5006,39609.0,N.A.
161,21:00 - 22:00,1.5012,-0.0004,1.5016,1.5024,1.5007,48632.0,N.A.
162,22:00 - 23:00,1.5008,-0.0004,1.5012,1.5016,1.5008,42992.0,N.A.
163,23:00 - 00:00,1.5011,0.0003,1.5008,1.5015,1.5008,36945.0,N.A.
165,00:00 - 01:00,1.5012,0.0001,1.5012,1.5017,1.5009,39048.0,N.A.
166,01:00 - 02:00,1.5025,0.0013,1.5012,1.5031,1.5012,40309.0,N.A.
167,02:00 - 03:00,1.5035,0.001,1.5025,1.5043,1.5021,64086.0,N.A.
168,03:00 - 04:00,1.5038,0.0003,1.5035,1.5049,1.5034,80011.0,N.A.
169,04:00 - 05:00,1.5049,0.0011,1.5038,1.5051,1.5034,74596.0,N.A.
170,05:00 - 06:00,1.5069,0.002,1.5049,1.5079,1.5049,82098.0,N.A.
171,06:00 - 07:00,1.5072,0.0003,1.5069,1.5074,1.5056,78644.0,N.A.
172,07:00 - 08:00,1.5085,0.0013,1.5072,1.5094,1.5067,69219.0,N.A.
173,08:00 - 09:00,1.5111,0.0026,1.5085,1.5116,1.5081,103935.0,N.A.
174,09:00 - 10:00,1.5144,0.0033,1.5111,1.5146,1.511,124655.0,N.A.
175,10:00 - 11:00,1.5183,0.0039,1.5144,1.5183,1.5137,122083.0,N.A.
176,11:00 - 12:00,1.5167,-0.0016,1.5183,1.5184,1.5166,108379.0,N.A.
177,12:00 - 13:00,1.5168,0.0001,1.5167,1.5168,1.5155,75155.0,N.A.
