Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
17:00 - 18:00,1.5139,-0.0005,1.5144,1.5146,1.5135,35433,N.A.
18:00 - 19:00,1.5133,-0.0006,1.5139,1.5141,1.5132,55987,N.A.
19:00 - 20:00,1.5133,0,1.5133,1.5157,1.5127,72269,N.A.
20:00 - 21:00,1.5126,-0.0007,1.5133,1.5138,1.5119,63896,N.A.
21:00 - 22:00,1.512,-0.0006,1.5126,1.513,1.5114,51179,N.A.
22:00 - 23:00,1.5125,0.0005,1.512,1.5131,1.512,46941,N.A.
23:00 - 00:00,1.5131,0.0006,1.5125,1.5133,1.5121,43166,N.A.
04DEC2015_00:00:00.000,,,,,,,
00:00 - 01:00,1.5124,-0.0007,1.5131,1.5133,1.5123,46214,N.A.
01:00 - 02:00,1.5117,-0.0007,1.5124,1.5127,1.5113,55034,N.A.
02:00 - 03:00,1.5087,-0.003,1.5117,1.5121,1.5078,95768,N.A.
03:00 - 04:00,1.5106,0.0019,1.5087,1.5119,1.5086,92148,N.A.
04:00 - 05:00,1.5124,0.0018,1.5106,1.5137,1.5105,95734,N.A.
05:00 - 06:00,1.5117,-0.0007,1.5124,1.5136,1.5115,83048,N.A.
06:00 - 07:00,1.5115,-0.0002,1.5117,1.5118,1.5104,89828,N.A.
07:00 - 08:00,1.5122,0.0007,1.5115,1.5135,1.5115,84323,N.A.
08:00 - 09:00,1.5114,-0.0008,1.5122,1.5156,1.5081,196601,N.A.
09:00 - 10:00,1.5134,0.002,1.5114,1.5134,1.5094,127383,N.A.
10:00 - 11:00,1.5102,-0.0032,1.5133,1.515,1.5098,130622,N.A.
11:00 - 12:00,1.5099,-0.0003,1.5102,1.5114,1.5099,122522,N.A.
12:00 - 13:00,1.51,0.0001,1.5099,1.5104,1.5083,119662,N.A.
13:00 - 14:00,1.5106,0.0006,1.51,1.5107,1.5096,69530,N.A.
14:00 - 15:00,1.5101,-0.0005,1.5106,1.5112,1.5099,53342,N.A.
15:00 - 16:00,1.5107,0.0006,1.5101,1.5117,1.51,50037,N.A.
16:00 - 17:00,1.5112,0.0005,1.5107,1.5112,1.5102,41695,N.A.
06DEC2015_00:00:00.000,,,,,,,
13:00 - 14:00,1.5104,-0.0008,1.5108,1.5118,1.5098,4083,N.A.
14:00 - 15:00,1.5107,0.0003,1.5104,1.5112,1.5092,4560,N.A.
15:00 - 16:00,1.5107,0,1.5107,1.5113,1.5089,5181,N.A.
16:00 - 17:00,1.5105,-0.0002,1.5107,1.5112,1.5101,6875,N.A.
17:00 - 18:00,1.5108,0.0003,1.5105,1.5112,1.5101,24190,N.A.
18:00 - 19:00,1.5109,0.0001,1.5108,1.5115,1.5105,59119,N.A.
19:00 - 20:00,1.5102,-0.0007,1.5109,1.5111,1.5098,45175,N.A.
20:00 - 21:00,1.5103,0.0001,1.5102,1.5105,1.5099,42690,N.A.
21:00 - 22:00,1.5099,-0.0004,1.5103,1.5103,1.5096,38630,N.A.
22:00 - 23:00,1.5097,-0.0002,1.5099,1.51,1.5095,32412,N.A.
23:00 - 00:00,1.5099,0.0002,1.5097,1.5104,1.5097,38673,N.A.
07DEC2015_00:00:00.000,,,,,,,
00:00 - 01:00,1.5098,-0.0001,1.5099,1.5104,1.5096,31802,N.A.
01:00 - 02:00,1.5106,0.0008,1.5098,1.511,1.5098,33654,N.A.
02:00 - 03:00,1.5102,-0.0004,1.5106,1.5115,1.51,54210,N.A.
