Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,93.03,2.39,90.64,101.44,84.83,103475908,N.A.
31DEC2008_00:00:00.000,,,,,,,
17:00 - 18:00,90.67,0.03,90.64,90.67,90.61,125,N.A.
01JAN2009_00:00:00.000,,,,,,,
12:00 - 13:00,90.72,0.05,90.75,90.79,90.68,183,N.A.
13:00 - 14:00,90.75,0.03,90.72,90.82,90.6,769,N.A.
14:00 - 15:00,90.72,-0.03,90.75,90.86,90.67,778,N.A.
15:00 - 16:00,90.75,0.03,90.72,90.86,90.65,582,N.A.
16:00 - 17:00,90.74,-0.01,90.74,90.81,90.6,262,N.A.
17:00 - 18:00,90.9,0.16,90.74,90.94,90.6,4027,N.A.
18:00 - 19:00,90.69,-0.21,90.9,90.9,90.67,3993,N.A.
19:00 - 20:00,90.76,0.07,90.69,90.82,90.67,4569,N.A.
20:00 - 21:00,90.83,0.07,90.76,90.83,90.71,5014,N.A.
21:00 - 22:00,90.88,0.05,90.83,90.91,90.72,4853,N.A.
22:00 - 23:00,91.03,0.15,90.88,91.09,90.86,5885,N.A.
23:00 - 00:00,91.09,0.06,91.03,91.18,90.97,6344,N.A.
02JAN2009_00:00:00.000,,,,,,,
00:00 - 01:00,91.16,0.07,91.09,91.18,91.03,4910,N.A.
01:00 - 02:00,91.18,0.02,91.16,91.19,91.09,4058,N.A.
02:00 - 03:00,91.26,0.08,91.18,91.3,91.17,3974,N.A.
03:00 - 04:00,91.19,-0.07,91.25,91.32,91.1,4645,N.A.
04:00 - 05:00,91.22,0.03,91.19,91.25,91.1,3259,N.A.
05:00 - 06:00,91.16,-0.06,91.22,91.25,91.11,3492,N.A.
06:00 - 07:00,91.21,0.05,91.16,91.24,91.12,3775,N.A.
07:00 - 08:00,91.39,0.18,91.21,91.46,91.14,3662,N.A.
08:00 - 09:00,91.18,-0.21,91.39,91.39,91.17,3913,N.A.
09:00 - 10:00,91.2,0.02,91.18,91.21,91.11,3495,N.A.
10:00 - 11:00,90.96,-0.24,91.2,91.2,90.8,5454,N.A.
11:00 - 12:00,91.13,0.17,90.96,91.21,90.93,4366,N.A.
12:00 - 13:00,91.38,0.25,91.13,91.43,91.1,4556,N.A.
13:00 - 14:00,91.89,0.51,91.38,91.92,91.36,4791,N.A.
14:00 - 15:00,92.21,0.32,91.89,92.42,91.8,4913,N.A.
15:00 - 16:00,92.29,0.08,92.21,92.29,92.11,3844,N.A.
16:00 - 17:00,91.84,-0.45,92.29,92.29,91.72,4783,N.A.
04JAN2009_00:00:00.000,,,,,,,
17:00 - 18:00,92.14,0.3,91.95,92.19,91.88,4750,N.A.
18:00 - 19:00,92.08,-0.06,92.14,92.2,92.06,5746,N.A.
19:00 - 20:00,92.1,0.02,92.08,92.14,91.93,7941,N.A.
20:00 - 21:00,92.03,-0.07,92.1,92.17,91.99,6633,N.A.
21:00 - 22:00,91.98,-0.05,92.04,92.14,91.93,6266,N.A.
22:00 - 23:00,91.97,-0.01,91.98,92.02,91.93,4941,N.A.
23:00 - 00:00,92.03,0.06,91.97,92.1,91.94,6023,N.A.
05JAN2009_00:00:00.000,,,,,,,
00:00 - 01:00,92,-0.03,92.03,92.04,91.96,5285,N.A.
01:00 - 02:00,91.93,-0.07,92,92.02,91.91,4922,N.A.
02:00 - 03:00,92.02,0.09,91.93,92.03,91.8,3946,N.A.
03:00 - 04:00,92.94,0.92,92.03,92.96,92.01,4568,N.A.
04:00 - 05:00,92.99,0.05,92.94,93.39,92.82,5074,N.A.
05:00 - 06:00,93.18,0.19,92.99,93.21,92.96,4378,N.A.
06:00 - 07:00,93.32,0.14,93.18,93.38,93.1,4007,N.A.
07:00 - 08:00,93.54,0.22,93.32,93.57,93.18,4634,N.A.
08:00 - 09:00,93.11,-0.43,93.54,93.56,93.08,4763,N.A.
09:00 - 10:00,92.89,-0.22,93.11,93.18,92.86,4562,N.A.
10:00 - 11:00,93.07,0.18,92.89,93.16,92.89,5423,N.A.
11:00 - 12:00,93.21,0.14,93.08,93.29,93.03,5401,N.A.
12:00 - 13:00,93.28,0.07,93.21,93.51,93.19,5068,N.A.
13:00 - 14:00,93.28,0,93.28,93.43,93.13,4814,N.A.
14:00 - 15:00,93.16,-0.12,93.28,93.38,93.15,5096,N.A.
15:00 - 16:00,93.3,0.14,93.16,93.35,93.16,4756,N.A.
16:00 - 17:00,93.44,0.14,93.3,93.6,93.29,4605,N.A.
17:00 - 18:00,93.2,-0.24,93.44,93.44,93.17,3963,N.A.
18:00 - 19:00,93.24,0.04,93.2,93.35,93.16,4506,N.A.
19:00 - 20:00,93.15,-0.09,93.24,93.24,93.05,6350,N.A.
20:00 - 21:00,93.13,-0.02,93.15,93.24,93.1,6125,N.A.
21:00 - 22:00,93.19,0.06,93.13,93.21,93.08,6159,N.A.
22:00 - 23:00,93.1,-0.09,93.18,93.2,93.06,5957,N.A.
23:00 - 00:00,93.08,-0.02,93.1,93.1,92.85,6288,N.A.
06JAN2009_00:00:00.000,,,,,,,
00:00 - 01:00,93.15,0.07,93.08,93.18,93.04,5293,N.A.
01:00 - 02:00,93.08,-0.07,93.15,93.16,93,5335,N.A.
02:00 - 03:00,93.57,0.49,93.08,93.62,92.95,4254,N.A.
03:00 - 04:00,93.6,0.03,93.57,93.82,93.49,4687,N.A.
04:00 - 05:00,93.74,0.14,93.6,93.83,93.59,4640,N.A.
05:00 - 06:00,93.96,0.22,93.75,94.07,93.69,4310,N.A.
06:00 - 07:00,94.13,0.17,93.96,94.22,93.89,4309,N.A.
07:00 - 08:00,94.26,0.13,94.13,94.26,93.99,4107,N.A.
08:00 - 09:00,94.35,0.09,94.26,94.43,94.21,4936,N.A.
09:00 - 10:00,94.56,0.21,94.35,94.59,94.21,5081,N.A.
10:00 - 11:00,94.49,-0.07,94.56,94.63,94.36,6118,N.A.
11:00 - 12:00,94.21,-0.28,94.49,94.49,94.16,5992,N.A.
12:00 - 13:00,94.05,-0.16,94.21,94.24,94,5713,N.A.
