Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
11:30 - 12:30,1378.6,3.88,1374.79,1382.98,1369.18,240,N.A.
12:30 - 13:30,1375.03,-3.57,1378.61,1383.94,1374.43,240,N.A.
13:30 - 14:30,1385.28,10.25,1374.71,1385.28,1373.07,240,N.A.
14:30 - 15:30,1386.57,1.29,1386.15,1391.99,1381.85,240,N.A.
15:30 - 16:30,1373.2,-13.37,1387.28,1388.7,1372.44,180,N.A.
17JAN2008_00:00:00.000,,,,,,,
09:30 - 10:30,1361.38,-11.82,1374.79,1377.72,1358.55,240,N.A.
10:30 - 11:30,1357.62,-3.76,1361.19,1364.52,1354.55,240,N.A.
11:30 - 12:30,1350.78,-6.84,1357.7,1359.6,1346.02,240,N.A.
12:30 - 13:30,1354.5,3.72,1351.44,1356.76,1348.22,240,N.A.
13:30 - 14:30,1344.31,-10.19,1354.68,1358.15,1344.31,240,N.A.
14:30 - 15:30,1337.85,-6.46,1344.11,1350.78,1337.85,240,N.A.
15:30 - 16:30,1333.25,-4.6,1337.07,1338.01,1330.67,180,N.A.
18JAN2008_00:00:00.000,,,,,,,
09:30 - 10:30,1345.16,11.91,1333.9,1350.28,1333.9,240,N.A.
10:30 - 11:30,1327.61,-17.55,1345.88,1346.55,1323.18,240,N.A.
11:30 - 12:30,1325.2,-2.41,1327.65,1329.69,1312.51,240,N.A.
12:30 - 13:30,1320.44,-4.76,1325.71,1329.78,1317.34,240,N.A.
13:30 - 14:30,1321.41,0.97,1320.54,1326.63,1318.24,239,N.A.
14:30 - 15:30,1318.22,-3.19,1321.32,1326.16,1315.11,240,N.A.
15:30 - 16:30,1325.19,6.97,1318.51,1327.41,1318.44,180,N.A.
22JAN2008_00:00:00.000,,,,,,,
09:30 - 10:30,1305.15,-20.04,1312.94,1312.94,1274.29,240,N.A.
10:30 - 11:30,1307.98,2.83,1304.96,1321.91,1300.6,240,N.A.
11:30 - 12:30,1307.84,-0.14,1307.9,1312.94,1300.58,240,N.A.
12:30 - 13:30,1310.92,3.08,1307.38,1319.56,1303.39,240,N.A.
13:30 - 14:30,1308.65,-2.27,1310.75,1314.03,1302.49,240,N.A.
14:30 - 15:30,1311.22,2.57,1308.05,1317.16,1302.96,240,N.A.
15:30 - 16:30,1310.5,-0.72,1313.16,1322.09,1308.71,180,N.A.
23JAN2008_00:00:00.000,,,,,,,
09:30 - 10:30,1300.7,-9.8,1310.41,1310.41,1277.23,241,N.A.
10:30 - 11:30,1293.5,-7.2,1300.64,1302.17,1291.43,240,N.A.
11:30 - 12:30,1288.43,-5.07,1292.81,1292.81,1281.51,236,N.A.
12:30 - 13:30,1285.81,-2.62,1288.51,1288.51,1270.05,239,N.A.
13:30 - 14:30,1306.59,20.78,1285.06,1307.55,1280.25,241,N.A.
14:30 - 15:30,1327.99,21.4,1305.57,1329.11,1293.44,240,N.A.
15:30 - 16:30,1338.6,10.61,1329.58,1339.09,1327.58,178,N.A.
24JAN2008_00:00:00.000,,,,,,,
09:30 - 10:30,1341.49,2.89,1340.13,1353.24,1334.31,240,N.A.
10:30 - 11:30,1347.77,6.28,1342.05,1347.77,1337.29,239,N.A.
11:30 - 12:30,1342.11,-5.66,1347.48,1349.9,1341.11,240,N.A.
12:30 - 13:30,1340.42,-1.69,1342.2,1344.93,1337,239,N.A.
13:30 - 14:30,1351.99,11.57,1341.31,1353.19,1339.46,240,N.A.
14:30 - 15:30,1345.21,-6.78,1352.27,1355.15,1341.91,239,N.A.
15:30 - 16:30,1352.07,6.86,1345.81,1352.15,1345.69,180,N.A.
25JAN2008_00:00:00.000,,,,,,,
09:30 - 10:30,1357.73,5.66,1357.32,1368.56,1356.15,240,N.A.
10:30 - 11:30,1346.79,-10.94,1357.41,1357.5,1345.13,240,N.A.
11:30 - 12:30,1349.98,3.19,1346.88,1354.27,1346.88,240,N.A.
12:30 - 13:30,1338.16,-11.82,1349.96,1349.96,1337.1,239,N.A.
13:30 - 14:30,1332.66,-5.5,1337.93,1338.9,1327.5,240,N.A.
14:30 - 15:30,1337.87,5.21,1332.71,1340.69,1327.81,240,N.A.
15:30 - 16:30,1330.61,-7.26,1337.72,1340.7,1327.58,180,N.A.
28JAN2008_00:00:00.000,,,,,,,
09:30 - 10:30,1335.39,4.78,1330.7,1335.39,1322.26,240,N.A.
10:30 - 11:30,1339.95,4.56,1334.54,1341.91,1332.08,239,N.A.
11:30 - 12:30,1337.28,-2.67,1339.6,1344.13,1335.74,240,N.A.
12:30 - 13:30,1343.83,6.55,1337.45,1346.9,1336.17,240,N.A.
13:30 - 14:30,1346.54,2.71,1343.92,1348.62,1341.31,239,N.A.
14:30 - 15:30,1342.57,-3.97,1346.31,1349.42,1339.06,240,N.A.
15:30 - 16:30,1353.97,11.4,1342,1353.97,1341.92,179,N.A.
29JAN2008_00:00:00.000,,,,,,,
09:30 - 10:30,1359.7,5.73,1355.94,1363.14,1350.19,239,N.A.
10:30 - 11:30,1360.32,0.62,1359.27,1362.57,1355.95,240,N.A.
11:30 - 12:30,1355.93,-4.39,1360.59,1362.82,1354.26,240,N.A.
12:30 - 13:30,1357.64,1.71,1355.76,1358.12,1354.66,240,N.A.
13:30 - 14:30,1358.36,0.72,1357.7,1360.26,1354.85,240,N.A.
14:30 - 15:30,1363.1,4.74,1358.76,1364.93,1356.76,240,N.A.
15:30 - 16:30,1362.3,-0.8,1363.02,1363.83,1360.49,179,N.A.
30JAN2008_00:00:00.000,,,,,,,
09:30 - 10:30,1360.47,-1.83,1362.22,1362.22,1353.12,240,N.A.
10:30 - 11:30,1356.85,-3.62,1359.43,1362.1,1356.72,240,N.A.
11:30 - 12:30,1357.69,0.84,1356.64,1359.28,1355.45,239,N.A.
12:30 - 13:30,1359.44,1.75,1357.75,1360.41,1356.56,240,N.A.
13:30 - 14:30,1374.84,15.4,1359.78,1377.9,1356.6,240,N.A.
14:30 - 15:30,1373.19,-1.65,1374.4,1385.86,1365.12,240,N.A.
15:30 - 16:30,1355.81,-17.38,1374.02,1374.68,1352.95,180,N.A.
31JAN2008_00:00:00.000,,,,,,,
09:30 - 10:30,1349.17,-6.64,1351.98,1351.98,1334.08,239,N.A.
10:30 - 11:30,1361.25,12.08,1349.17,1361.94,1343.97,240,N.A.
11:30 - 12:30,1363.64,2.39,1361.15,1374.09,1357.5,238,N.A.
12:30 - 13:30,1363.94,0.3,1364.71,1366.4,1359.02,240,N.A.
13:30 - 14:30,1370.5,6.56,1363.93,1373.32,1363.9,240,N.A.
14:30 - 15:30,1380.17,9.67,1370.05,1380.55,1367.06,240,N.A.
15:30 - 16:30,1378.5,-1.67,1379.99,1385.62,1371.51,180,N.A.
01FEB2008_00:00:00.000,,,,,,,
09:30 - 10:30,1386.66,8.16,1378.6,1396.02,1377.01,240,N.A.
10:30 - 11:30,1382.8,-3.86,1385.51,1385.51,1375.93,240,N.A.
11:30 - 12:30,1383.05,0.25,1382.29,1387.26,1381.29,240,N.A.
12:30 - 13:30,1385.95,2.9,1382.9,1386.57,1380.07,240,N.A.
13:30 - 14:30,1389.76,3.81,1386,1390.07,1383.53,240,N.A.
14:30 - 15:30,1392.99,3.23,1389.69,1394.46,1389.32,239,N.A.
15:30 - 16:30,1395.42,2.43,1392.93,1395.68,1392.46,180,N.A.
04FEB2008_00:00:00.000,,,,,,,
09:30 - 10:30,1386.74,-8.68,1395.38,1395.38,1382.82,240,N.A.
10:30 - 11:30,1388.41,1.67,1386.55,1389.31,1382.19,240,N.A.
11:30 - 12:30,1383.42,-4.99,1388.29,1389.81,1382.94,238,N.A.
12:30 - 13:30,1382.81,-0.61,1383.62,1386.17,1381.18,240,N.A.
13:30 - 14:30,1384.87,2.06,1382.66,1386.24,1382.66,240,N.A.
14:30 - 15:30,1384.61,-0.26,1384.79,1385.64,1379.96,239,N.A.
15:30 - 16:30,1380.82,-3.79,1384.75,1384.93,1379.69,178,N.A.
05FEB2008_00:00:00.000,,,,,,,
09:30 - 10:30,1360.23,-20.59,1380.28,1380.28,1352.63,238,N.A.
10:30 - 11:30,1352.96,-7.27,1361.5,1362.48,1350.29,240,N.A.
11:30 - 12:30,1351.36,-1.6,1352.84,1358.67,1351.1,239,N.A.
12:30 - 13:30,1347.99,-3.37,1351.39,1353.72,1346.06,239,N.A.
13:30 - 14:30,1347.1,-0.89,1348.05,1349.12,1342.27,239,N.A.
14:30 - 15:30,1343.05,-4.05,1347.55,1351.4,1339.64,240,N.A.
15:30 - 16:30,1336.64,-6.41,1342.23,1346.05,1336.64,180,N.A.
06FEB2008_00:00:00.000,,,,,,,
09:30 - 10:30,1341.59,4.95,1339.48,1345.28,1334.73,240,N.A.
10:30 - 11:30,1350.62,9.03,1341.63,1351.96,1339.86,239,N.A.
11:30 - 12:30,1344.34,-6.28,1350.91,1351.1,1343.93,239,N.A.
12:30 - 13:30,1344.06,-0.28,1344.5,1345.72,1341.59,239,N.A.
13:30 - 14:30,1334.08,-9.98,1343.63,1343.98,1331.01,240,N.A.
14:30 - 15:30,1332.74,-1.34,1334.32,1338.35,1328.89,239,N.A.
15:30 - 16:30,1326.45,-6.29,1332.58,1333.1,1324.34,180,N.A.
