Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
12:00 - 13:00,126.93,0.26,126.67,126.94,126.6,9920,N.A.
13:00 - 14:00,126.41,-0.52,126.93,126.99,126.22,8950,N.A.
14:00 - 15:00,127.1,0.69,126.41,127.13,126.33,8580,N.A.
15:00 - 16:00,126.91,-0.19,127.1,127.14,126.65,9874,N.A.
16:00 - 17:00,126.75,-0.16,126.91,126.92,126.6,9523,N.A.
17:00 - 18:00,126.13,-0.62,126.75,126.79,126.08,10362,N.A.
18:00 - 19:00,126.12,-0.01,126.13,126.26,125.82,11470,N.A.
19:00 - 20:00,126.56,0.44,126.12,126.91,126.02,11377,N.A.
20:00 - 21:00,126.72,0.16,126.56,126.73,126.26,11586,N.A.
21:00 - 22:00,126.62,-0.1,126.72,126.9,126.46,11619,N.A.
22:00 - 23:00,126.92,0.3,126.62,127.05,126.52,11996,N.A.
23:00 - 00:00,126.77,-0.15,126.92,126.97,126.73,11500,N.A.
07JAN2009_00:00:00.000,,,,,,,
00:00 - 01:00,126.91,0.14,126.77,127.09,126.64,10644,N.A.
01:00 - 02:00,126.42,-0.49,126.91,126.94,126.41,9824,N.A.
02:00 - 03:00,126.97,0.55,126.42,127.15,126.32,6250,N.A.
03:00 - 04:00,126.66,-0.31,126.98,127.36,126.6,6764,N.A.
04:00 - 05:00,126.67,0.01,126.65,126.81,126.39,7179,N.A.
05:00 - 06:00,127.04,0.37,126.67,127.07,126.56,7079,N.A.
06:00 - 07:00,126.94,-0.1,127.04,127.18,126.87,7674,N.A.
07:00 - 08:00,126.72,-0.22,126.94,127.02,126.67,6771,N.A.
08:00 - 09:00,127.45,0.73,126.72,127.64,126.25,5806,N.A.
09:00 - 10:00,127.01,-0.44,127.45,127.45,126.96,6883,N.A.
10:00 - 11:00,126.67,-0.34,127.01,127.06,126.26,7642,N.A.
11:00 - 12:00,127.14,0.47,126.68,127.26,126.58,7298,N.A.
12:00 - 13:00,126.56,-0.58,127.14,127.15,126.53,8802,N.A.
13:00 - 14:00,126.56,0,126.56,127.01,126.54,8018,N.A.
14:00 - 15:00,126.24,-0.32,126.56,126.61,126.21,8265,N.A.
15:00 - 16:00,126.28,0.04,126.24,126.37,125.66,8783,N.A.
16:00 - 17:00,126.42,0.14,126.28,126.58,126.17,7981,N.A.
17:00 - 18:00,126.44,0.02,126.43,126.51,126.35,8956,N.A.
18:00 - 19:00,126.27,-0.17,126.44,126.49,126.09,9839,N.A.
19:00 - 20:00,125.89,-0.38,126.27,126.42,125.82,9845,N.A.
20:00 - 21:00,126.14,0.25,125.89,126.39,125.88,10282,N.A.
21:00 - 22:00,126.04,-0.1,126.14,126.16,125.88,10520,N.A.
22:00 - 23:00,126.08,0.04,126.03,126.14,125.95,10062,N.A.
23:00 - 00:00,126.14,0.06,126.08,126.2,125.88,11079,N.A.
08JAN2009_00:00:00.000,,,,,,,
00:00 - 01:00,125.89,-0.25,126.14,126.18,125.89,11024,N.A.
01:00 - 02:00,125.51,-0.38,125.89,125.98,125.36,9754,N.A.
02:00 - 03:00,124.61,-0.9,125.51,125.65,124.25,6575,N.A.
03:00 - 04:00,124.49,-0.12,124.61,124.67,124.11,6663,N.A.
04:00 - 05:00,124.94,0.45,124.49,125.14,124.47,7791,N.A.
05:00 - 06:00,124.48,-0.46,124.94,124.94,124.27,7549,N.A.
06:00 - 07:00,124.31,-0.17,124.48,124.53,124.23,8218,N.A.
07:00 - 08:00,124.25,-0.06,124.31,124.59,124.25,5748,N.A.
08:00 - 09:00,125.05,0.8,124.25,125.16,124.18,6438,N.A.
09:00 - 10:00,125.38,0.33,125.05,125.7,124.93,7144,N.A.
10:00 - 11:00,125.17,-0.21,125.38,125.4,124.93,9517,N.A.
11:00 - 12:00,124.99,-0.18,125.17,125.45,124.72,8219,N.A.
12:00 - 13:00,124.83,-0.16,124.99,125.05,124.8,20596,N.A.
13:00 - 14:00,124.96,0.13,124.83,125,124.67,19967,N.A.
14:00 - 15:00,125.29,0.33,124.96,125.37,124.89,18328,N.A.
15:00 - 16:00,125.12,-0.17,125.29,125.51,124.77,17354,N.A.
16:00 - 17:00,124.96,-0.16,125.12,125.15,124.79,12167,N.A.
17:00 - 18:00,125.01,0.05,124.96,125.05,124.69,6668,N.A.
18:00 - 19:00,125.18,0.17,125.01,125.22,124.98,11665,N.A.
19:00 - 20:00,124.71,-0.47,125.18,125.28,124.66,18272,N.A.
20:00 - 21:00,124.61,-0.1,124.71,124.77,124.42,16622,N.A.
21:00 - 22:00,124.68,0.07,124.61,124.83,124.59,13138,N.A.
22:00 - 23:00,124.59,-0.09,124.68,124.68,124.45,13793,N.A.
23:00 - 00:00,124.56,-0.03,124.59,124.7,124.51,13647,N.A.
09JAN2009_00:00:00.000,,,,,,,
00:00 - 01:00,124.53,-0.03,124.56,124.76,124.43,16773,N.A.
01:00 - 02:00,124.6,0.07,124.53,124.67,124.47,18180,N.A.
02:00 - 03:00,124.62,0.02,124.6,125.01,124.5,20874,N.A.
03:00 - 04:00,124.47,-0.15,124.62,124.74,124.41,21726,N.A.
04:00 - 05:00,124.19,-0.28,124.46,124.56,123.99,23481,N.A.
05:00 - 06:00,124.36,0.17,124.19,124.51,124.19,24013,N.A.
06:00 - 07:00,124.53,0.17,124.36,124.56,124.31,23930,N.A.
07:00 - 08:00,124.32,-0.21,124.53,124.54,124.17,22558,N.A.
08:00 - 09:00,124.37,0.05,124.32,125.19,124.23,31243,N.A.
09:00 - 10:00,122.83,-1.54,124.37,124.37,122.68,31824,N.A.
10:00 - 11:00,121.86,-0.97,122.83,123.03,121.62,28657,N.A.
11:00 - 12:00,121.79,-0.07,121.86,122.15,121.49,25587,N.A.
12:00 - 13:00,121.54,-0.25,121.79,122.06,121.33,20743,N.A.
13:00 - 14:00,121.42,-0.12,121.54,121.67,121.35,17769,N.A.
14:00 - 15:00,121.49,0.07,121.42,121.77,121.38,20059,N.A.
15:00 - 16:00,121.18,-0.31,121.5,121.6,121.17,15171,N.A.
16:00 - 17:00,121.81,0.63,121.18,121.81,121.18,9442,N.A.
11JAN2009_00:00:00.000,,,,,,,
14:00 - 15:00,121.47,-0.34,121.5,121.65,121.44,779,N.A.
15:00 - 16:00,121.33,-0.14,121.47,121.53,121.31,756,N.A.
16:00 - 17:00,121.46,0.13,121.33,121.6,121.32,2868,N.A.
17:00 - 18:00,121.19,-0.27,121.46,121.46,121.11,5032,N.A.
18:00 - 19:00,120.95,-0.24,121.19,121.26,120.85,14276,N.A.
19:00 - 20:00,120.78,-0.17,120.95,121.1,120.42,14195,N.A.
20:00 - 21:00,120.97,0.19,120.78,121.13,120.65,12150,N.A.
21:00 - 22:00,120.96,-0.01,120.97,121.14,120.93,8541,N.A.
22:00 - 23:00,120.62,-0.34,120.96,120.97,120.55,11055,N.A.
23:00 - 00:00,120.64,0.02,120.61,120.7,120.49,12511,N.A.
12JAN2009_00:00:00.000,,,,,,,
00:00 - 01:00,120.89,0.25,120.64,120.96,120.61,12767,N.A.
01:00 - 02:00,120.84,-0.05,120.89,120.99,120.71,15401,N.A.
02:00 - 03:00,120.73,-0.11,120.84,121.09,120.58,19703,N.A.
03:00 - 04:00,120.33,-0.4,120.73,120.95,120.11,25850,N.A.
04:00 - 05:00,120.56,0.23,120.33,120.67,120.25,22780,N.A.
05:00 - 06:00,120.62,0.06,120.56,120.73,120.4,21382,N.A.
06:00 - 07:00,120.58,-0.04,120.62,120.68,120.19,22830,N.A.
07:00 - 08:00,120.78,0.2,120.58,120.92,120.51,22916,N.A.
08:00 - 09:00,120.58,-0.2,120.78,120.79,120.36,23588,N.A.
09:00 - 10:00,120.18,-0.4,120.58,120.71,120.03,27642,N.A.
10:00 - 11:00,119.14,-1.04,120.18,120.24,118.82,31145,N.A.
11:00 - 12:00,118.7,-0.44,119.14,119.14,118.66,27756,N.A.
12:00 - 13:00,119.49,0.79,118.7,119.56,118.68,22988,N.A.
13:00 - 14:00,119.57,0.08,119.49,119.75,119.35,17811,N.A.
14:00 - 15:00,119.33,-0.24,119.57,119.57,119.12,19424,N.A.
15:00 - 16:00,119.17,-0.16,119.33,119.33,118.93,15144,N.A.
16:00 - 17:00,119.19,0.02,119.17,119.28,119.1,10581,N.A.
17:00 - 18:00,119.42,0.23,119.19,119.44,119.09,8338,N.A.
18:00 - 19:00,119.49,0.07,119.42,119.58,119.23,13890,N.A.
19:00 - 20:00,119.07,-0.42,119.49,119.5,118.98,18505,N.A.
